;Llave motriz	;1000,00;Madera;	0;15; 0
;Maxi bloques smith hill	;6500,00;Madera;	0;15; 0
;Multitabla	;1100,00;Madera;	0;15; 0
;Memotex con figuras reales;;Madera;	0;15; 0
;Mesa de actividades	;5000,00;Madera;	0;15; 0
;Mini construcciones	;2000,00;Madera;	0;15; 0
; Naipes animales;;Madera;	0;15; 0
; Naipes de poliuretano animales chicos;;Madera;	0;15; 0
;Opuestos	;650,00;Madera;	0;15; 0
;Ordenando fracciones	;1300,00;Madera;	0;15; 0
;Payasín	;1200,00;Madera;	0;15; 0
;Percepción táctil	;1200,00;Madera;	0;15; 0
;Perchero trencito	;5000,00;Madera;	0;15; 0
;Pictograma grande historias para contar;1500,00;Madera;0;15; 0
;Pictograma creando historias	;1600,00;Madera;	0;15; 0
;Pinball	;2500,00;Madera;	0;15; 0
;Pirulín ;;Madera;	0;15; 0
;Plantado  especial;;Madera;	0;15; 0
;Puzzle x 4	;800,00;Madera;	0;15; 0
;Plantado fino (palitos de encastre diferente tamaño y color)	;900,00;Madera;	0;15; 0
;Plantado grueso (palitos de encastre diferente tamaño y color	;1000,00;Madera;	0;15; 0
;Porotitos	;900,00;Madera;	0;15; 0
;Prenuméricos chico	;700,00;Madera;	0;15; 0
;Prenuméricos grande 	;1700,00;Madera;	0;15; 0
;Recorrido	;900,00;Madera;	0;15; 0
;Recorrido árbol,caracol	;3400,00;Madera;	0;15; 0
;Recorrido pared flor 	;2300,00;Madera;	0;15; 0
;Reloj Didáctico	;1100,00;Madera;	0;15; 0
;Regletas	;1400,00;Madera;	0;15; 0
;Rimas	;2700,00;Madera;	0;15; 0
;Rompecabezas de encaje	;230,00;Madera;	0;15; 0
;Rompecabezas de encaje seriado x 5 	;220,00;Madera;	0;15; 0
;Rompecabezas de encaje x 7	;260,00;Madera;	0;15; 0
;Rompecabezas económicos	;160,00;Madera;	0;15; 0
;Rompecabezas grandes con 12-15-20 piezas;350,00;Madera;0;15; 0
;Rompecabezas grandes con 24-36 piezas	;500,00;Madera;	0;15; 0
;Rompecabezas planos  ;;Madera;	0;15; 0
;Rueda autocorrectora	;900,00;Madera;	0;15; 0
;Secuencia Lógica	;320,00;Madera;	0;15; 0
;Senderitos	;750,00;Madera;	0;15; 0
;Señales de transito	;1400,00;Madera;	0;15; 0
;Seriación de 10 elementos	;650,00;Madera;	0;15; 0
;Seriación de espesores cilindro	;0,00;Madera;	0;15; 0
;Seriación de espesores Gusy  ;;Madera;	0;15; 0
;Set plastilina  ;;Madera;	0;15; 0
;Siente y encuentra	;1300,00;Madera;	0;15; 0
;Sílabas 	;1300,00;Madera;	0;15; 0
;Sílabas grupos consonánticos	;1300,00;Madera;	0;15; 0
;Sillón Hamaca ;;Madera;	0;15; 0
